,Dispay_inch,Hard_disk,Name,Operating_system,Price,Processor,RAM
388,35.56 cm (14 inch) Display,512 GB SSD,MSI Prestige Series Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹62,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
389,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 130 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹36,990",Intel Core i5 Processor (8th Gen),4 GB DDR4 RAM
390,29.46 cm (11.6 inch) Touchscreen Display,32 GB HDD,Iball Atom Quad Core ,32 bit Windows 10 Operating System,"₹15,750",Intel Atom Quad Core Processor,2 GB DDR3 RAM
391,35.56 cm (14 inch) Display,256 GB SSD,Avita Liber Core i7 8th Gen ,64 bit Windows 10 Operating System,"₹75,990",Intel Core i7 Processor (8th Gen),8 GB DDR4 RAM
392,35.56 cm (14 inch) Display,512 GB SSD,Avita Liber Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹72,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
393,35.56 cm (14 inch) Display,256 GB SSD,Avita Liber Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹64,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
394,39.62 cm (15.6 inch) Display,1 TB HDD,HP HP Notebook Celeron Dual Core 7th Gen ,32 bit DOS Operating System,"₹22,595",Intel Celeron Dual Core Processor (7th Gen),4 GB DDR4 RAM
395,35.56 cm (14 inch) Display,512 GB SSD,Avita Liber Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹72,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
396,35.56 cm (14 inch) Display,512 GB SSD,Avita Liber Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹72,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
397,35.56 cm (14 inch) Display,256 GB SSD,Avita Liber Core i7 8th Gen ,64 bit Windows 10 Operating System,"₹75,990",Intel Core i7 Processor (8th Gen),8 GB DDR4 RAM
398,39.62 cm (15.6 inch) Display,1 TB HDD,Dell Inspiron Core i3 6th Gen ,64 bit DOS Operating System,"₹30,990",Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM
399,35.56 cm (14 inch) Display,128 GB SSD,Avita Liber Core i5 7th Gen ,64 bit Windows 10 Operating System,"₹45,990",Intel Core i5 Processor (7th Gen),8 GB DDR3 RAM
400,35.56 cm (14 inch) Display,256 GB SSD,Avita Liber Core i7 8th Gen ,64 bit Windows 10 Operating System,"₹75,990",Intel Core i7 Processor (8th Gen),8 GB DDR4 RAM
401,39.62 cm (15.6 inch) Display,1 TB HDD,Acer Swift 3 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹47,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
402,39.62 cm (15.6 inch) Display,2 TB HDD,Dell Inspiron 15 3000 Series Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹56,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
403,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 130 Core i3 7th Gen ,DOS Operating System,"₹30,990",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
404,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad Core i3 6th Gen ,DOS Operating System,"₹32,990",Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM
405,33.78 cm (13.3 inch) Display,256 GB SSD,Acer Swift 3 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹53,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
406,1 TB HDD,64 bit Windows 10 Operating System,HP 15 APU Quad Core A12 ,4 GB DDR4 RAM,"₹35,990","Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",AMD APU Quad Core A12 Processor
407,35.56 cm (14 inch) Display,256 GB SSD,Avita Liber Core i7 8th Gen ,64 bit Windows 10 Operating System,"₹75,990",Intel Core i7 Processor (8th Gen),8 GB DDR4 RAM
408,39.62 cm (15.6 inch) Display,1 TB HDD|128 GB SSD,HP Pavilion 15 Ryzen 5 Quad Core ,64 bit Windows 10 Operating System,"₹61,490",AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM
409,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 130 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹36,990",Intel Core i5 Processor (8th Gen),4 GB DDR4 RAM
410,39.62 cm (15.6 inch) Display,1 TB HDD,Asus Core i3 6th Gen ,64 bit Windows 10 Operating System,"₹32,990",Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM
411,35.56 cm (14 inch) Touchscreen Display,1 TB HDD|8 GB SSD,HP Pavilion x360 Core i3 8th Gen ,64 bit Windows 10 Operating System,"₹58,990",Intel Core i3 Processor (8th Gen),4 GB DDR4 RAM
412,39.62 cm (15.6 inch) Display,1 TB HDD,Asus Vivobook Max Core i3 7th Gen ,64 bit Windows 10 Operating System,"₹31,999",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
413,35.56 cm (14 inch) Display,256 GB SSD,Avita Liber Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹64,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
414,35.56 cm (14 inch) Touchscreen Display,1 TB HDD|8 GB SSD,HP Pavilion x360 Core i5 7th Gen ,64 bit Windows 10 Operating System,"₹72,990",Intel Core i5 Processor (7th Gen),8 GB DDR4 RAM
415,35.56 cm (14 inch) Display,1 TB HDD,Lenovo Ideapad 330s Core i3 8th Gen ,64 bit Windows 10 Operating System,"₹35,390",Intel Core i3 Processor (8th Gen),4 GB DDR4 RAM
416,35.56 cm (14 inch) Touchscreen Display,256 GB SSD,Acer Swift 5 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹64,990",Intel Core i5 Processor (8th Gen),8 GB DDR3 RAM
417,500 GB HDD,64 bit Windows 10 Operating System,Acer Spin 1 Pentium Quad Core ,4 GB DDR3 RAM,"₹34,999","Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",Intel Pentium Quad Core Processor
418,33.78 cm (13.3 inch) Touchscreen Display,256 GB SSD,Dell Inspiron 13 7000 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹82,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
419,35.56 cm (14 inch) Display,128 GB SSD,Avita Liber Core i5 7th Gen ,64 bit Windows 10 Operating System,"₹45,990",Intel Core i5 Processor (7th Gen),8 GB DDR3 RAM
420,33.78 cm (13.3 inch) Display,512 GB SSD,Asus ZenBook 13 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹76,990",Intel Core i5 Processor (8th Gen),8 GB DDR3 RAM
421,39.62 cm (15.6 inch) Display,2 TB HDD,Dell Inspiron 15 5000 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹61,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
422,39.62 cm (15.6 inch) Display,1 TB HDD|256 GB SSD,Asus S510UN Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹69,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
423,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 130 Core i3 7th Gen ,DOS Operating System,"₹30,990",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
424,1 TB HDD,64 bit Windows 10 Operating System,Acer Aspire E15 Core i3 7th Gen ,4 GB DDR4 RAM,"₹29,650","Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",Intel Core i3 Processor (7th Gen)
425,39.62 cm (15.6 inch) Display,1 TB HDD,Asus X Series Core i3 7th Gen ,64 bit Windows 10 Operating System,"₹35,999",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
426,64 bit Windows 10 Operating System,8 GB DDR4 RAM,Dell Inspiron 13 5000 Core i7 8th Gen ,Intel Core i7 Processor (8th Gen),"₹78,990",Preloaded Microsoft Office Home and Student 2016,"Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)"
427,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 330 Core i3 7th Gen ,64 bit Windows 10 Operating System,"₹45,000",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
428,512 GB SSD,64 bit Windows 10 Operating System,Lenovo Core i7 6th Gen ,8 GB DDR3 RAM,"₹1,28,690","Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",Intel Core i7 Processor (6th Gen)
429,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo ideapad 130 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹45,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
430,39.62 cm (15.6 inch) Display,1 TB SSD,Asus ZenBook 15 Core i7 8th Gen ,64 bit Windows 10 Operating System,"₹1,39,990",Intel Core i7 Processor (8th Gen),16 GB DDR4 RAM
431,29.46 cm (11.6 inch) Display,500 GB HDD,Asus E203NAH Celeron Dual Core 7th Gen ,64 bit Windows 10 Operating System,"₹18,999",Intel Celeron Dual Core Processor (7th Gen),2 GB DDR3 RAM
432,64 bit Windows 10 Operating System,8 GB DDR3 RAM,Dell Inspiron 5000 Core i5 6th Gen ,Intel Core i5 Processor (6th Gen),"₹62,990",Preloaded Microsoft Office Home and Student 2016,"Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)"
433,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 130 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹36,990",Intel Core i5 Processor (8th Gen),4 GB DDR4 RAM
434,39.62 cm (15.6 inch) Display,1 TB HDD,Dell Inspiron 15 3000 Core i3 6th Gen ,64 bit Windows 10 Operating System,"₹30,989",Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM
435,39.62 cm (15.6 inch) Display,500 GB HDD,Dell 3000 Core i3 6th Gen ,Windows 10 Operating System,"₹48,000",Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM
436,1 Year Warranty,35.81 cm (14.1 inch) Display,RDP ThinBook Atom Quad Core ,32 bit Windows 10 Operating System,"₹12,499",Intel Atom Quad Core Processor,2 GB DDR3 RAM
437,64 bit Windows 10 Operating System,8 GB DDR4 RAM,Lenovo Ideapad Core i7 7th Gen ,Intel Core i7 Processor (7th Gen),"₹81,990","Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",Preloaded Microsoft Office Home & Student 2016
438,2 TB HDD,64 bit Windows 10 Operating System,Lenovo Core i5 7th Gen ,16 GB DDR4 RAM,"₹81,990","Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",Intel Core i5 Processor (7th Gen)
439,35.56 cm (14 inch) Display,256 GB SSD,Avita Liber Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹64,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
440,1 TB HDD,64 bit DOS Operating System,Lenovo Ideapad 320 Core i3 6th Gen ,4 GB DDR4 RAM,"₹29,999",Latest Laptop without Optical Disk Drive,Intel Core i3 Processor (6th Gen)
441,64 bit Windows 10 Operating System,4 GB DDR4 RAM,Dell Inspiron Core i5 7th Gen ,Intel Core i5 Processor (7th Gen),"₹44,990","Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",Microsoft Office Home and Student 2016
442,29.46 cm (11.6 inch) Display,32 bit Windows 10 Operating System,Iball Atom Quad Core ,2 GB DDR3 RAM,"₹12,499","Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",Intel Atom Quad Core Processor
443,35.56 cm (14 inch) Display,128 GB SSD,Avita Liber Core i5 7th Gen ,64 bit Windows 10 Operating System,"₹45,990",Intel Core i5 Processor (7th Gen),8 GB DDR3 RAM
444,39.62 cm (15.6 inch) Display,1 TB HDD|256 GB SSD,Asus Vivobook S15 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹79,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
445,39.62 cm (15.6 inch) Display,500 GB HDD,Dell 5000 Core i3 7th Gen ,Windows 10 Operating System,"₹47,000",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
446,1 TB HDD,64 bit Windows 10 Operating System,HP Pavilion Core i3 7th Gen ,4 GB DDR4 RAM,"₹42,990","Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",Intel Core i3 Processor (7th Gen)
447,39.62 cm (15.6 inch) Display,1 TB HDD,Asus Core i3 6th Gen ,64 bit Windows 10 Operating System,"₹36,990",Intel Core i3 Processor (6th Gen),8 GB DDR4 RAM
448,39.62 cm (15.6 inch) Display,1 TB HDD,Dell Vostro 15 3000 Core i3 6th Gen ,Linux/Ubuntu Operating System,"₹29,900",Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM
449,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 130 Core i3 7th Gen ,DOS Operating System,"₹30,990",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
450,64 bit Windows 10 Operating System,8 GB DDR4 RAM,Dell Inspiron 15 5000 Core i5 8th Gen ,Intel Core i5 Processor (8th Gen),"₹72,499",Preloaded Microsoft Office Home and Student 2016,"Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)"
451,64 bit Windows 10 Operating System,16 GB DDR4 RAM,Dell Inspiron 5000 Core i7 7th Gen ,Intel Core i7 Processor (7th Gen),"₹91,490",Preloaded Microsoft Office Home and Student 2016,"Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)"
452,39.62 cm (15.6 inch) Display,2 TB HDD,Dell Inspiron Core i7 6th Gen ,64 bit Windows 10 Operating System,"₹87,990",Intel Core i7 Processor (6th Gen),16 GB DDR3 RAM
453,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo ideapad 130 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹45,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
454,1 TB HDD,DOS Operating System,HP 14 Core i3 6th Gen ,4 GB DDR4 RAM,"₹30,500",Lightweight Laptop without Disk Drive,Intel Core i3 Processor (6th Gen)
455,1 Year Manufacturer Warranty,39.37 cm (15.5 inch) Display,HP ATA APU Quad Core A6 ,64 bit DOS Operating System,"₹26,400",AMD APU Quad Core A6 Processor,4 GB DDR3 RAM
